Date_Range_DIF,Date_Range_STD,Abort_Timing,Record Name,RMSE_cal,RMSE_std,Beam_Max,MaxRSE_std,Max_Pre,Avg_Pre,Max_Cal,Avg_Cal,Max_Raw_Pre,Avg_Raw_Pre,Max_STD_Raw_Pre,Avg_STD_Raw_Pre,W0_std,W1_std,W2_std,W3_std,W4_std,W0_dif,W1_dif,W2_dif,W3_dif,W4_dif,RMSE_dif,MaxRSE_dif,Cause_no
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L03:PRES,5.10e-01,1.00e-02,8.01e+02,7.123e-12,1.02e+00,4.59e-01,7.12e-12,2.65e-12,3.00e-08,1.35e-08,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,6.71e-01,1.37e-02,3.15e-01,1.09e-01,0.00e+00,1.31e-01,2.92e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L05:PRES,2.95e-01,1.00e-02,8.01e+02,7.123e-12,1.02e+00,9.93e-02,7.12e-12,2.65e-12,2.02e-08,1.95e-09,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.26e+00,1.04e-01,5.12e-06,1.58e-10,0.00e+00,9.60e-02,2.92e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L07:PRES,4.41e-01,4.80e-02,8.01e+02,9.390e-01,1.01e+00,3.48e-01,1.02e-01,5.14e-03,3.01e-08,1.03e-08,1.30e-08,4.06e-11,6.44e-12,2.72e+01,1.02e-01,3.02e-08,0.00e+00,9.32e-01,2.08e-02,9.86e-02,8.22e-11,0.00e+00,1.30e-01,2.64e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L08:PRES,5.31e-01,1.02e-01,8.01e+02,8.792e-01,1.01e+00,5.40e-01,4.09e-01,2.06e-02,3.13e-08,1.67e-08,1.50e-08,1.94e-10,1.75e-07,2.72e+01,4.09e-01,2.55e-11,0.00e+00,5.97e-01,6.97e-02,2.45e-11,4.63e-01,0.00e+00,2.19e-02,4.93e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L09:PRES,3.47e-01,1.00e-02,8.01e+02,7.123e-12,1.02e+00,1.40e-01,7.12e-12,2.65e-12,1.91e-08,2.63e-09,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.27e+00,7.23e-02,3.02e-09,8.94e-11,0.00e+00,1.15e-01,3.00e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L10:PRES,4.29e-01,9.07e-02,8.01e+02,1.105e+00,1.00e+00,5.41e-01,1.11e+00,1.30e-01,5.94e-08,3.20e-08,4.33e-08,3.69e-09,1.10e+00,7.66e-02,6.11e-06,1.47e-07,0.00e+00,5.99e-01,3.95e-03,4.94e-01,3.67e-02,0.00e+00,5.97e-02,2.16e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L11:PRES,3.98e-01,1.00e-01,8.01e+02,1.083e+00,1.01e+00,4.65e-01,1.08e+00,7.35e-02,4.05e-08,1.87e-08,2.79e-08,1.21e-09,1.08e+00,1.41e-01,6.75e-14,7.39e-09,0.00e+00,6.83e-01,7.65e-02,2.73e-15,3.84e-01,0.00e+00,2.34e-02,6.15e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L11A:PRES,5.09e-01,1.25e-01,8.01e+02,8.569e-01,1.01e+00,5.21e-01,4.65e-01,2.50e-02,2.98e-08,1.54e-08,1.94e-08,3.85e-10,5.29e-09,2.72e+01,4.63e-01,1.63e-03,0.00e+00,6.38e-01,6.64e-02,7.73e-16,4.35e-01,0.00e+00,2.31e-02,6.41e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L15:PRES,3.46e-01,1.00e-02,8.01e+02,7.123e-12,1.01e+00,1.51e-01,7.12e-12,2.65e-12,2.49e-08,3.71e-09,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.23e+00,6.53e-02,1.66e-09,4.32e-10,0.00e+00,9.75e-02,2.57e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L16:PRES,4.25e-01,1.12e-01,8.01e+02,8.547e-01,1.01e+00,4.72e-01,8.55e-01,5.45e-02,3.37e-08,1.58e-08,2.21e-08,6.97e-10,8.50e-01,1.66e-01,4.03e-12,4.40e-03,0.00e+00,6.63e-01,7.25e-02,2.38e-15,3.90e-01,0.00e+00,5.73e-02,3.91e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L17:PRES,2.23e-01,1.00e-02,8.01e+02,7.123e-12,1.04e+00,4.98e-02,7.12e-12,2.65e-12,1.45e-08,6.92e-10,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.19e+00,2.24e-01,1.97e-10,3.20e-03,0.00e+00,8.62e-02,4.34e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L18:PRES,5.05e-01,1.14e-01,8.01e+02,1.118e+00,1.01e+00,6.22e-01,1.12e+00,1.36e-01,3.53e-08,2.18e-08,2.96e-08,2.64e-09,1.12e+00,7.37e-02,2.34e-11,2.84e-07,0.00e+00,7.05e-01,3.88e-03,3.67e-01,3.77e-02,0.00e+00,5.26e-02,1.61e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D03_L19:PRES,3.17e-01,1.00e-02,8.01e+02,7.123e-12,1.02e+00,1.15e-01,7.12e-12,2.65e-12,1.80e-08,2.02e-09,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.27e+00,8.97e-02,2.78e-07,8.41e-08,0.00e+00,1.07e-01,3.17e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D04_L09C:PRES,4.15e-01,7.36e-02,8.01e+02,9.552e-01,1.00e+00,3.13e-01,2.59e-01,1.31e-02,3.55e-08,1.11e-08,1.30e-08,8.23e-11,6.70e-10,2.70e+01,2.59e-01,1.37e-09,0.00e+00,1.03e+00,2.57e-02,1.74e-10,3.15e-09,0.00e+00,1.02e-01,1.88e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D04_L09D:PRES,3.70e-01,1.18e-01,8.01e+02,6.925e-01,9.99e-01,3.94e-01,6.33e-01,3.64e-02,4.89e-08,1.93e-08,1.86e-08,4.38e-10,6.33e-01,1.71e-01,1.93e-06,2.06e-08,0.00e+00,7.88e-01,7.02e-02,1.03e-09,2.93e-01,0.00e+00,3.23e-02,8.23e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D05_L17:PRES,4.99e-01,1.21e-01,8.01e+02,9.219e-01,1.01e+00,5.61e-01,9.22e-01,6.62e-02,3.02e-08,1.67e-08,2.54e-08,1.04e-09,9.22e-01,1.32e-01,1.14e-09,3.10e-08,0.00e+00,5.91e-01,6.33e-02,1.83e-16,4.78e-01,0.00e+00,2.19e-02,6.56e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D06_L01:PRES,2.68e-01,1.00e-02,8.01e+02,7.123e-12,9.91e-01,7.70e-02,7.12e-12,2.65e-12,1.60e-08,1.24e-09,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.24e+00,1.35e-01,9.04e-08,2.48e-12,0.00e+00,1.02e-01,3.51e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D06_L09:PRES,2.75e-01,1.00e-02,8.01e+02,7.123e-12,1.01e+00,7.93e-02,7.12e-12,2.65e-12,1.49e-08,1.17e-09,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.26e+00,1.33e-01,1.14e-06,2.06e-12,0.00e+00,1.08e-01,4.11e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D06_L10:PRES,4.25e-01,1.49e-01,8.01e+02,1.071e+00,9.94e-01,5.73e-01,1.07e+00,1.69e-01,4.47e-08,2.58e-08,3.80e-08,4.31e-09,1.06e+00,5.96e-02,1.43e-06,1.26e-02,0.00e+00,4.72e-01,4.42e-02,7.05e-02,4.77e-01,0.00e+00,3.68e-02,7.00e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D06_L17:PRES,4.39e-01,9.50e-02,8.01e+02,1.167e+00,9.98e-01,5.23e-01,1.17e+00,9.75e-02,4.51e-08,2.36e-08,3.61e-08,1.94e-09,1.17e+00,1.11e-01,5.39e-06,2.58e-11,0.00e+00,6.07e-01,7.83e-02,1.51e-13,4.54e-01,0.00e+00,2.94e-02,6.23e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D06_L18:PRES,3.83e-01,8.40e-02,8.01e+02,1.155e+00,1.01e+00,4.74e-01,1.16e+00,1.04e-01,4.89e-08,2.31e-08,4.39e-08,2.72e-09,1.16e+00,1.02e-01,4.30e-07,5.18e-12,0.00e+00,6.54e-01,7.81e-02,1.85e-09,4.00e-01,0.00e+00,3.11e-02,6.58e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D06_L19:PRES,2.73e-01,1.00e-02,8.01e+02,7.123e-12,1.01e+00,7.86e-02,7.12e-12,2.65e-12,1.45e-08,1.13e-09,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.26e+00,1.34e-01,1.56e-07,1.20e-12,0.00e+00,1.05e-01,4.03e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D06_L20:PRES,3.14e-01,8.96e-02,8.01e+02,1.106e+00,9.93e-01,3.99e-01,1.11e+00,9.25e-02,4.90e-08,1.97e-08,3.91e-08,2.12e-09,1.11e+00,1.11e-01,8.65e-07,2.50e-11,0.00e+00,7.37e-01,7.17e-02,3.56e-12,3.06e-01,0.00e+00,3.10e-02,7.70e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D06_L21:PRES,3.03e-01,1.00e-02,8.01e+02,7.123e-12,1.01e+00,1.03e-01,7.12e-12,2.65e-12,1.80e-08,1.83e-09,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.26e+00,1.01e-01,1.47e-05,4.27e-08,0.00e+00,1.05e-01,3.09e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D06_L23:PRES,4.97e-01,9.85e-02,8.01e+02,1.168e+00,9.88e-01,5.88e-01,1.17e+00,1.10e-01,5.37e-08,3.20e-08,3.72e-08,2.30e-09,1.17e+00,9.75e-02,1.77e-06,4.50e-11,0.00e+00,6.67e-01,3.71e-03,3.96e-01,2.70e-02,0.00e+00,5.00e-02,1.88e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D06_L26:PRES,4.76e-01,1.31e-01,8.01e+02,8.756e-01,9.88e-01,5.31e-01,8.76e-01,5.96e-02,3.28e-08,1.77e-08,2.06e-08,7.30e-10,8.76e-01,1.40e-01,7.19e-15,1.87e-10,0.00e+00,5.90e-01,5.39e-03,4.49e-01,7.18e-02,0.00e+00,6.37e-02,2.25e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D07_L17:PRES,2.86e-01,1.00e-02,8.01e+02,7.123e-12,1.02e+00,8.26e-02,7.12e-12,2.65e-12,1.47e-08,1.19e-09,0.00e+00,0.00e+00,6.66e-16,2.72e+01,4.71e-12,2.41e-12,0.00e+00,1.22e+00,1.25e-01,6.55e-10,2.67e-09,0.00e+00,1.17e-01,4.70e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D07_L24:PRES,4.80e-01,1.37e-01,8.01e+02,8.905e-01,1.01e+00,5.44e-01,8.91e-01,6.94e-02,3.30e-08,1.77e-08,2.06e-08,9.63e-10,8.90e-01,1.20e-01,1.21e-12,8.62e-08,0.00e+00,6.56e-01,6.67e-02,4.20e-11,4.57e-01,0.00e+00,4.97e-02,1.09e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D09_L02:PRES,3.61e-01,9.35e-02,8.01e+02,1.132e+00,1.04e+00,4.75e-01,1.13e+00,1.30e-01,5.41e-08,2.48e-08,5.23e-08,4.63e-09,1.13e+00,7.81e-02,3.01e-11,1.03e-07,0.00e+00,7.26e-01,9.53e-02,5.31e-16,4.06e-01,0.00e+00,3.55e-02,9.59e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D10_L08:PRES,3.04e+00,8.65e+00,8.01e+02,2.284e+02,9.75e-01,5.32e-01,1.86e+01,1.75e+00,5.19e-07,2.83e-07,1.75e-04,1.11e-06,1.76e+01,2.18e-01,9.95e-02,9.15e-01,0.00e+00,3.53e-01,1.36e-02,2.99e-01,3.40e-01,0.00e+00,1.50e-02,8.58e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D10_L10:PRES,4.55e-01,1.02e-01,8.01e+02,1.151e+00,1.01e+00,5.52e-01,1.15e+00,1.10e-01,6.88e-08,3.78e-08,3.57e-08,2.34e-09,1.15e+00,9.54e-02,2.51e-06,3.75e-10,0.00e+00,5.79e-01,5.96e-02,4.52e-15,4.67e-01,0.00e+00,1.70e-02,3.97e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D11_L20:PRES,6.48e-01,4.46e-02,8.01e+02,1.009e+00,1.08e+00,5.68e-01,6.50e-02,3.28e-03,2.10e-08,1.11e-08,1.26e-08,2.45e-11,3.45e-14,2.72e+01,6.50e-02,3.83e-09,0.00e+00,1.06e+00,1.19e-02,1.03e-02,1.48e-04,0.00e+00,2.13e-01,4.74e-01,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D11_L21:PRES,3.49e-01,1.09e-01,8.01e+02,9.785e-01,1.02e+00,5.21e-01,9.78e-01,1.89e-01,7.64e-08,3.89e-08,5.84e-08,7.95e-09,9.75e-01,4.56e-02,2.54e-04,2.94e-03,0.00e+00,5.79e-01,5.13e-02,5.18e-02,4.19e-01,0.00e+00,3.76e-02,8.77e-02,0.00e+00
20240401001800-20240401013029,20240324000000-20240327000000,2024-04-01 01:28:29,VALCCG:D11_L22:PRES,3.90e-01,1.19e-01,8.01e+02,1.065e+00,1.03e+00,5.23e-01,1.07e+00,1.45e-01,6.00e-08,3.05e-08,3.91e-08,3.61e-09,1.06e+00,6.57e-02,1.73e-11,3.26e-04,0.00e+00,6.52e-01,2.93e-02,6.94e-02,3.35e-01,0.00e+00,3.25e-02,7.77e-02,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D01_L07:PRES,5.74e-01,9.66e-02,3.08e+02,6.741e-01,1.02e+00,6.89e-01,1.10e+00,1.30e-01,2.69e-08,1.81e-08,6.42e-08,6.93e-09,1.07e+00,8.48e-02,6.47e-11,3.09e-02,0.00e+00,7.10e-01,1.71e-03,3.75e-01,3.87e-02,0.00e+00,5.08e-02,1.85e-01,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D01_L17:PRES,5.77e-01,1.49e-01,3.08e+02,5.524e-01,1.03e+00,7.78e-01,1.06e+00,2.26e-01,4.41e-08,3.34e-08,5.14e-08,1.01e-08,9.78e-01,5.35e-02,6.04e-10,8.66e-02,0.00e+00,7.43e-01,1.06e-03,2.81e-01,7.44e-02,0.00e+00,4.26e-02,1.41e-01,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D03_L10:PRES,5.89e-01,9.07e-02,3.08e+02,1.105e+00,9.90e-01,6.82e-01,1.11e+00,1.13e-01,2.52e-08,1.74e-08,4.33e-08,3.69e-09,1.10e+00,7.66e-02,6.11e-06,1.47e-07,0.00e+00,7.41e-01,1.72e-03,3.37e-01,6.90e-03,0.00e+00,4.36e-02,1.45e-01,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D05_L16:PRES,3.44e-01,6.16e-02,3.08e+02,2.737e-01,1.01e+00,9.11e-01,1.12e+00,5.76e-01,4.55e-08,4.11e-08,7.13e-08,3.45e-08,6.37e-01,2.32e-03,4.75e-01,7.39e-03,0.00e+00,9.26e-01,3.32e-04,1.19e-01,5.66e-04,0.00e+00,2.43e-02,6.88e-02,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D05_L18:PRES,3.28e-01,1.00e-01,3.08e+02,1.312e+00,1.28e+00,7.58e-01,1.16e+00,4.47e-01,8.93e-08,5.30e-08,1.23e-07,4.60e-08,4.71e-01,3.47e-03,6.43e-01,4.26e-02,0.00e+00,8.06e-01,2.38e-03,3.41e-01,5.34e-02,0.00e+00,9.86e-02,3.81e-01,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D06_L16:PRES,5.16e-01,1.56e-01,3.08e+02,6.230e-01,9.45e-01,7.58e-01,1.08e+00,2.65e-01,3.24e-08,2.60e-08,5.46e-08,1.18e-08,9.15e-01,6.84e-02,5.15e-05,1.61e-01,0.00e+00,7.93e-01,9.87e-04,1.97e-01,6.85e-03,0.00e+00,2.95e-02,9.41e-02,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D06_L23:PRES,6.37e-01,9.85e-02,3.08e+02,1.168e+00,9.54e-01,7.11e-01,1.17e+00,9.55e-02,2.37e-08,1.77e-08,3.72e-08,2.30e-09,1.17e+00,9.75e-02,1.77e-06,4.50e-11,0.00e+00,7.66e-01,1.66e-03,2.44e-01,1.46e-02,0.00e+00,3.89e-02,1.25e-01,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D06_L24:PRES,5.00e-01,1.57e-01,3.08e+02,8.492e-01,9.70e-01,7.20e-01,1.05e+00,2.42e-01,2.94e-08,2.18e-08,5.47e-08,1.09e-08,9.25e-01,6.19e-02,1.95e-03,1.27e-01,0.00e+00,7.72e-01,1.40e-03,2.60e-01,5.22e-03,0.00e+00,3.58e-02,1.21e-01,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D07_L09:PRES,3.28e-01,7.71e-02,3.08e+02,3.303e-01,9.85e-01,9.05e-01,1.00e+00,5.81e-01,1.33e-07,1.23e-07,5.54e-07,2.21e-07,5.61e-01,1.18e-03,3.96e-01,4.42e-02,0.00e+00,8.58e-01,1.15e-04,9.71e-02,4.96e-02,0.00e+00,1.06e-02,3.84e-02,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D07_L14:PRES,5.58e-01,1.39e-01,3.08e+02,5.344e-01,9.56e-01,7.68e-01,1.09e+00,2.32e-01,2.57e-08,2.06e-08,5.79e-08,1.12e-08,9.60e-01,7.14e-02,3.92e-12,1.27e-01,0.00e+00,7.97e-01,8.70e-04,2.00e-01,7.33e-03,0.00e+00,4.25e-02,1.24e-01,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D07_L22:PRES,5.41e-01,1.38e-01,3.08e+02,5.320e-01,9.34e-01,8.06e-01,1.08e+00,2.88e-01,3.98e-08,3.43e-08,6.61e-08,1.61e-08,8.90e-01,6.74e-02,4.52e-12,1.86e-01,0.00e+00,7.95e-01,6.18e-04,1.47e-01,3.71e-02,0.00e+00,3.40e-02,8.46e-02,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D08_L14:PRES,8.46e-01,7.19e-02,3.08e+02,3.343e-01,3.52e+00,4.15e-01,1.15e+00,4.76e-01,6.40e-08,7.55e-09,9.02e-08,3.50e-08,4.48e-01,4.47e-03,5.90e-01,1.14e-01,0.00e+00,5.11e-01,5.16e-03,6.18e-01,1.98e-02,0.00e+00,8.44e-01,3.13e+00,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D09_L06:PRES,3.83e-01,1.16e-01,3.08e+02,4.276e-01,1.00e+00,6.52e-01,1.06e+00,2.81e-01,2.81e-08,1.83e-08,7.59e-08,1.82e-08,8.75e-01,7.16e-02,1.70e-03,1.86e-01,0.00e+00,7.21e-01,2.21e-03,3.71e-01,1.25e-02,0.00e+00,5.36e-02,1.78e-01,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D09_L07:PRES,3.15e-01,7.89e-02,3.08e+02,3.069e-01,1.01e+00,6.14e-01,1.09e+00,3.06e-01,3.18e-08,1.93e-08,9.83e-08,2.48e-08,8.57e-01,9.53e-02,1.97e-08,2.35e-01,0.00e+00,6.72e-01,2.40e-03,4.42e-01,2.02e-02,0.00e+00,5.91e-02,2.09e-01,0.00e+00
20240401014930-20240401022310,20240324000000-20240327000000,2024-04-01 02:21:10,VALCCG:D09_L16:PRES,4.45e-01,1.10e-01,3.08e+02,5.337e-01,1.01e+00,6.04e-01,1.09e+00,1.72e-01,2.86e-08,1.71e-08,7.53e-08,1.08e-08,1.02e+00,7.90e-02,2.40e-04,7.12e-02,0.00e+00,6.65e-01,2.53e-03,4.50e-01,2.16e-02,0.00e+00,5.71e-02,2.03e-01,0.00e+00
